Algoritmo,Python,Go
NaivOnArray,0.01781620000838302,0.0
NaivLoopUnrollingTwo,0.01170980000460986,0.0
NaivLoopUnrollingFour,0.011343699996359646,0.0
WinogradOriginal,0.017074400006094947,0.0
WinogradScaled,0.03751840000040829,0.0
StrassenNaiv,0.04509830000461079,0.005987
III.3 Sequential Block,0.01865249998809304,0.0
IV.3 Sequential Block,0.018759300000965595,0.0
V.3 Sequential Block,0.01876440001069568,0.0
V.4 Parallel Block,4.3799998820759356e-05,0.0
