Algoritmo,Python,Go
NaivOnArray,5.1399998483248055e-05,0.0
NaivLoopUnrollingTwo,3.229999856557697e-05,0.0
NaivLoopUnrollingFour,4.659999831346795e-05,0.0
WinogradOriginal,5.419999797595665e-05,0.0
WinogradScaled,0.00011210000229766592,0.0
StrassenNaiv,0.00014599999849451706,0.0
III.3 Sequential Block,4.289999924367294e-05,0.0
IV.3 Sequential Block,3.9999998989515007e-05,0.0
V.3 Sequential Block,4.0099999750964344e-05,0.0
V.4 Parallel Block,2.149999636458233e-05,0.0
