Algoritmo,Python,Go
NaivOnArray,0.14835950000269804,0.000535
NaivLoopUnrollingTwo,0.09268970000266563,0.0
NaivLoopUnrollingFour,0.09302900001057424,0.000534
WinogradOriginal,0.14097499998752028,0.0
WinogradScaled,0.3128158999898005,0.0
StrassenNaiv,0.33519160001014825,0.036719
III.3 Sequential Block,0.15009690000442788,0.000547
IV.3 Sequential Block,0.1536595999932615,0.000547
V.3 Sequential Block,0.1554438999883132,0.000547
V.4 Parallel Block,0.15780100000847597,0.000547
