Algoritmo,Python,Go
NaivOnArray,2.8099995688535273e-05,0.0
NaivLoopUnrollingTwo,1.1600001016631722e-05,0.0
NaivLoopUnrollingFour,7.000009645707905e-06,0.0
WinogradOriginal,1.5600002370774746e-05,0.0
WinogradScaled,3.640000068116933e-05,0.0
StrassenNaiv,0.0002502999996067956,0.0
III.3 Sequential Block,1.1600001016631722e-05,0.0
IV.3 Sequential Block,8.399991202168167e-06,0.0
V.3 Sequential Block,8.000002708286047e-06,0.0
V.4 Parallel Block,0.004336600002716295,0.0
