Algoritmo,Tiempo Promedio (segundos)
III.3 Sequential Block,0.020947
IV.3 Sequential Block,0.031219
V.3 Sequential Block,0.024072
V.4 Parallel Block,0.000000
StrassenNaiv,1.752489
NaivOnArray,0.027825
NaivLoopUnrollingTwo,0.016057
NaivLoopUnrollingFour,0.018254
WinogradOriginal,0.000000
WinogradScaled,0.020602
