Algoritmo,Tiempo en segundos
NaivOnArray,0.14835950000269804,64
NaivLoopUnrollingTwo,0.09268970000266563,64
NaivLoopUnrollingFour,0.09302900001057424,64
WinogradOriginal,0.14097499998752028,64
WinogradScaled,0.3128158999898005,64
StrassenNaiv,0.33519160001014825,64
III.3 Sequential Block,0.15009690000442788,64
IV.3 Sequential Block,0.1536595999932615,64
V.3 Sequential Block,0.1554438999883132,64
V.4 Parallel Block,0.15780100000847597,64
