Algoritmo,Tiempo en segundos
NaivOnArray,10.598808399998234,256
NaivLoopUnrollingTwo,6.489346600006684,256
NaivLoopUnrollingFour,6.337106599996332,256
WinogradOriginal,9.329167399992002,256
WinogradScaled,20.87087440000323,256
StrassenNaiv,17.130355600005714,256
III.3 Sequential Block,10.483915000004345,256
IV.3 Sequential Block,10.654727800007095,256
V.3 Sequential Block,10.904614200000651,256
V.4 Parallel Block,13.058852000001934,256
