Algoritmo,Tiempo promedio en segundos
NaivOnArray,1.4662562625007922
NaivLoopUnrollingTwo,0.9338974749989575
NaivLoopUnrollingFour,0.910298225000588
WinogradOriginal,1.333463212499737
WinogradScaled,2.8518133250017854
StrassenNaiv,2.4520700999992187
III.3 Sequential Block,1.4682975374989837
IV.3 Sequential Block,1.4819406624992553
V.3 Sequential Block,1.4778730000007272
V.4 Parallel Block,1.5869488874996023
