Algoritmo,Tiempo en segundos
NaivOnArray,0.002494000000297092,16
NaivLoopUnrollingTwo,0.0016066999960457906,16
NaivLoopUnrollingFour,0.0015463999880012125,16
WinogradOriginal,0.002657099990756251,16
WinogradScaled,0.005315900009009056,16
StrassenNaiv,0.006565999996382743,16
III.3 Sequential Block,0.0024116999993566424,16
IV.3 Sequential Block,0.0022831999958725646,16
V.3 Sequential Block,0.0022652000043308362,16
V.4 Parallel Block,2.7600006433203816e-05,16
